frame_time,x,y,x_rotation,y_rotation,z_rotation,size
0.0,271,153,0.4809988737106323,-15.650885581970215,0.2071884423494339,17248
0.03333333333333333,270,153,1.3567795753479004,-15.636146545410156,0.04940693825483322,17515
0.06666666666666667,270,153,1.6670652627944946,-15.708648681640625,0.06249690800905228,17515
0.1,270,154,1.246789813041687,-15.782305717468262,-0.07444050908088684,17402
0.13333333333333333,270,154,0.5816038846969604,-15.848504066467285,-0.2702765464782715,17402
0.16666666666666666,270,154,0.9801008105278015,-15.81680965423584,-0.45921799540519714,17402
0.2,269,154,1.7533724308013916,-15.134937286376953,-0.3501995801925659,17825
0.23333333333333334,268,155,1.900881052017212,-15.460329055786133,-0.3426405191421509,17710
0.26666666666666666,267,153,1.9872467517852783,-13.788331031799316,-0.270244836807251,17595
0.3,266,156,1.301194429397583,-13.517569541931152,-1.0208802223205566,18564
0.3333333333333333,266,155,1.6587693691253662,-13.595209121704102,-0.7393413782119751,17980
0.36666666666666664,266,158,0.9202589988708496,-14.1404447555542,-0.9293286800384521,18802
0.4,266,159,1.954550862312317,-14.086979866027832,-1.1803168058395386,18840
0.43333333333333335,265,160,1.6061512231826782,-13.75607681274414,-1.4296365976333618,19118
0.4666666666666667,265,160,2.533637285232544,-13.959391593933105,-2.0650882720947266,19440
0.5,264,160,3.0108604431152344,-13.582390785217285,-2.103113889694214,19723
0.5333333333333333,265,160,3.260641098022461,-13.853766441345215,-1.5434308052062988,20130
0.5666666666666667,263,161,1.7168997526168823,-12.616506576538086,-1.8889154195785522,21294
0.6,262,161,2.1715335845947266,-11.653533935546875,-1.7890360355377197,21168
0.6333333333333333,261,162,1.6164889335632324,-10.712604522705078,-2.105304479598999,21294
0.6666666666666666,259,162,1.8082913160324097,-10.012984275817871,-1.91013765335083,21209
0.7,259,162,1.1604547500610352,-9.585400581359863,-1.9226617813110352,21632
0.7333333333333333,258,164,1.8275139331817627,-9.591203689575195,-2.1559836864471436,21672
0.7666666666666666,256,164,1.9075560569763184,-9.332976341247559,-2.4696407318115234,21971
0.8,256,165,2.0094845294952393,-9.868194580078125,-2.7866697311401367,22528
0.8333333333333334,255,165,1.3078409433364868,-9.37907600402832,-2.919602155685425,22575
0.8666666666666667,255,167,1.1743574142456055,-9.896023750305176,-3.2870497703552246,22704
0.9,256,168,2.4110350608825684,-10.014837265014648,-3.3308780193328857,23010
0.9333333333333333,256,170,2.617049217224121,-10.733171463012695,-3.5492117404937744,22880
0.9666666666666667,256,170,3.7467429637908936,-10.967754364013672,-4.122125148773193,22704
1.0,256,170,3.832951784133911,-11.035075187683105,-4.030191898345947,22575
1.0333333333333332,256,170,4.074935436248779,-11.908315658569336,-4.161432266235352,22575
1.0666666666666667,256,171,4.984124660491943,-12.31903076171875,-3.77596378326416,22880
1.1,256,171,5.0470685958862305,-11.902786254882812,-4.152745723724365,22880
1.1333333333333333,255,171,5.250452518463135,-13.993522644042969,-3.5541293621063232,23807
1.1666666666666667,255,171,6.628007888793945,-13.917720794677734,-3.3647096157073975,22575
1.2,255,172,6.476708889007568,-14.354242324829102,-3.3064560890197754,22704
1.2333333333333334,255,172,7.221854209899902,-14.534979820251465,-3.4594826698303223,22656
1.2666666666666666,255,172,7.974095344543457,-14.959609985351562,-3.5257322788238525,22528
1.3,255,172,7.936476230621338,-15.328545570373535,-3.3306283950805664,22656
1.3333333333333333,254,172,7.673655986785889,-15.55300521850586,-3.4808876514434814,22225
1.3666666666666667,254,172,7.7119622230529785,-15.652376174926758,-3.780367374420166,22528
1.4,254,172,8.224337577819824,-16.51474952697754,-3.7857539653778076,22656
1.4333333333333333,253,172,9.453147888183594,-17.23015785217285,-4.2189249992370605,22400
1.4666666666666666,253,171,13.056318283081055,-18.20561981201172,-3.8656013011932373,21971
1.5,252,171,12.932767868041992,-18.333345413208008,-3.4596590995788574,22272
1.5333333333333332,250,169,13.36011028289795,-18.222503662109375,-4.34112024307251,22317
1.5666666666666667,249,168,12.31618595123291,-17.212230682373047,-4.446526527404785,22144
1.6,249,167,11.582348823547363,-18.014095306396484,-4.74191427230835,20787
1.6333333333333333,248,166,9.871345520019531,-17.268091201782227,-4.346183776855469,20664
1.6666666666666667,248,163,8.727245330810547,-16.577987670898438,-4.932822227478027,20008
1.7,247,161,7.8357462882995605,-16.357919692993164,-5.825065612792969,19320
1.7333333333333334,245,159,7.9239115715026855,-16.653831481933594,-5.8192524909973145,18921
1.7666666666666666,244,156,6.585479736328125,-14.182791709899902,-6.346644878387451,18564
1.8,242,155,7.948315620422363,-15.773036003112793,-5.945024490356445,17365
1.8333333333333333,241,153,6.729127407073975,-15.014583587646484,-6.532994270324707,17284
1.8666666666666667,240,150,5.852516174316406,-13.565569877624512,-7.013163089752197,16986
1.9,239,148,5.1229448318481445,-14.222051620483398,-6.691180229187012,17284
1.9333333333333333,238,146,6.40520715713501,-13.421030044555664,-6.854669570922852,16644
1.9666666666666666,237,144,4.50996208190918,-14.594265937805176,-7.132091045379639,16385
2.0,236,142,4.541204452514648,-14.706686973571777,-7.485151767730713,15151
2.033333333333333,235,141,3.7054290771484375,-14.689434051513672,-7.120245456695557,15012
2.0666666666666664,234,139,4.447242736816406,-15.738874435424805,-7.006354808807373,15012
2.1,233,138,4.0345234870910645,-15.46731948852539,-7.2722601890563965,14766
2.1333333333333333,232,136,3.145442008972168,-16.072879791259766,-7.057028293609619,14766
2.1666666666666665,232,134,2.787504196166992,-16.011117935180664,-7.394865036010742,14522
2.2,231,132,3.2521400451660156,-16.26105308532715,-7.323479175567627,13635
